"id","name","variety","brand","country","region","flavor","price","rating","abv"
1,"Louis Jadot Puligny-Montrachet","Chardonnay","Louis Jadot","France","Burgundy","Fruity","$59.99",5.0,13.0
2,"Jermann Pinot Grigio","Pinot Grigio","Jermann","Italy","Friuli Venezia Giulia","Fruity","$29.99",5.0,12.5
3,"Marolo Moscato Grappa","Moscato","Marolo","Italy","Moscato D'Asti","Sweet","$49.99",4.2,42.0
4,"Duckhorn 3 Palms Merlot 2012","Merlot","Duckhorn","USA","Napa Valley","Fruity","$89.99",4.4,14.5
5,"Matela Crljenak kastelanski 2017","Zinfandel","Matela","Croatia","Dalmatian Coast","Sweet","$34.00",4.0,15.0
6,"Mozelle Riesling","Riesling","Mozelle","Germany","Mosel","Semi Sweet","$12.99",4.8,9.5
7,"Far Niente Chardonnay","Chardonnay","Far Niente","USA","Napa Valley","Citrus","$52.97",5.0,14.3
8,"Duckhorn Chardonnay 2018","Chardonnay","Duckhorn","USA","Napa Valley","Peach","$26.97",4.7,14.1
9,"Charles Orban Cuvee Roger Daltrey","Champagne","Charles Orban","France","Champagne","Apricot","$164.99",5.0,12.0
10,"De Venoge Princes Rose","Sparkling","De Venoge","France","Champagne","Strawberry","$99.99",4.0,12.0
11,"De Venoge Cordon Bleu Rose Brut","Champagne","De Venoge","France","Champagne","Floral","$54.99",5.0,12.0
12,"Tsarine Brut Rose NV","Champagne","Tsarine","France","Champagne","Apple","$64.99",4.6,12.0
13,"Laudato Pinot Grigio","Pinot Grigio","Laudato","Italy","Veneto","Citrus","$14.99",4.5,12.0
14,"Borrasca Prosecco Docg","Prosecco","Borrasca","Italy","Veneto","Pear","$14.99",4.7,11.0
15,"Renieri Brunello Di Montalcino","Sangiovese","Renieri","Italy","Tuscany","Cedar","$99.99",4.3,14.5
16,"Veuve Clicquot Yellow Label NV","Sparkling","Veuve Clicquot Ponsardin","France","Champagne","Citrus","$65.99",3.8,12.0
17,"Quinta das Carvalhas Touriga Nacional","Touriga Nacional","Quinta das Carvalhas","Portugal","Douro","Chocolate","$19.99",4.5,14.0
18,"Porto Valdouro Rose","Rose Port","Valdouro","Portugal","Douro","Raspberry","$16.99",4.6,19.5
19,"Marquez De Murrieta Castillo Ygay","Tempranillo","Marques De Murrieta","Spain","Rioja","Fruity","$134.97",5.0,14.0
20,"Renieri Brunello Di Montalcino 2015","Sangiovese","Renieri","Italy","Tuscany","Cedar","$99.99",4.3,14.5
21,"Unanime Malbec","Malbec","Mascota","Argentina","Mendoza","Plum","$24.99",4.6,14.0
22,"Klein Constantia Vin de Constance 2014","Moscato","Klein Constantia","South Africa","Constantia","Sweet","$94.99",5.0,14.2
23,"Moone Tsai Chardonnay Napa 2017","Chardonnay","Bald Mountain","USA","Napa Valley","Pear","$84.99",5.0,14.7
24,"Chappellet Cabernet Sauvignon Napa Signature 2018","Cabernet Sauvignon","Chappellet","USA","Napa Valley","Chocolate","$69.99",4.5,14.5
25,"Kosta Browne Pinot Noir Santa Rita Hills 2017","Pinot Noir","Kosta Browne","USA","Santa Rita Hills","Cherry","$109.99",5.0,13.5
26,"Valserrano Rioja Reserva 2015","Tempranillo","Valserrano","Spain","Rioja","Cherry","$26.99",4.4,14.5
27,"Artadi Rioja Vina El Pison 2017","Tempranillo","Artadi","Spain","Rioja","Orange","$269.99",5.0,14.0
28,"Chateau Mouton Rothschild Pauillac 2016","Bordeaux Red Blend","Chateau Mouton Rothschild","France","Bordeaux","Raspberry","$899.97",5.0,13.0
29,"Prophecy Pinot Grigio","Pinot Grigio","Prophecy","Italy","Veneto","Citrus","$9.99",5.0,12.5
30,"Macchia Zinfandel Mischievous Lodi 2018","Zinfandel","Macchia","USA","Lodi","Blackberry","$24.99",4.6,15.5
31,"Gerd Anselmann Pfalz Kabinett","Riesling","Gerd Anselmann","Germany","Pfalz","Floral","$16.99",4.8,10.5
32,"Dr Heidemanns Bernkastel Badstube Riesling 2018","Riesling","Dr Heidemann-Bergweiler","Germany","Mosel","Honey","$39.99",4.9,9.0
33,"Domdechant Werner Domdechaney Dry GG 2017","Riesling","Domdechant Weiner","Germany","Rheingau","Apricot","$59.99",5.0,12.5
34,"Dr Heidemanns Eiswein Polar Bear","Riesling","Dr Heidemann-Bergweiller","Germany","Rheinhessen","Honey","$52.99",0.0,9.0
35,"Hall Ranch Zinafandel Paso Robles 2018","Zinfandel","Hall Ranch","USA","Paso Robles","Dark Fruit","$19.99",4.2,15.5
36,"The Fugitive Red Dry Creek Valley","Zinfandel","The Fugitive","USA","Sonoma Valley","Blackberry","$29.99",4.3,14.5
37,"Dr Thanisch Bernkasteler Doctor Spatlese","Riesling","Dr Thanisch","Germany","Mosel","Peach","$67.99",5.0,8.5
38,"St Nikolaus Wehlener Sonnenuhr Riesling 2015","Riesling","St Nikolaus","Germany","Mosel","Apricot","$64.99",0.0,7.5
39,"Pico Cuadro Original Ribera del Duero 2016","Tempranillo","Pico Cuadro","Spain","Ribera del Duero","Black Fruit","$19.99",5.0,14.5
40,"Uro Toro Tinta De Toro 2014","Tempranillo","Uro","Spain","Toro","Black Fruit","$39.99",4.0,14.5
41,"Liberalia Toro Cinco 2008","Tempranillo","Liberalia","Spain","Toro","Blackberry","$74.99",5.0,14.0
42,"Casado Morales Rioja Seleccion Privada 2011","Tempranillo","Casado Morales","Spain","Rioja","Black Cherry","$69.99",4.8,13.8
43,"Tenuta di Renieri Chianti Classico 2018","Sangiovese","Tenuta di Renieri","Italy","Tuscany","Cherry","$19.99",4.3,14.0
